"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 17 11:52:01 MSK 2026","Thu Sep 17 11:52:05 MSK 2026","4105","","tests.LoginTest","","tests.LoginTest","testLoginViaRegisterForm","Вход через кнопку в форме регистрации","Проверка входа через кнопку в форме регистрации"
"passed","Thu Sep 17 11:51:57 MSK 2026","Thu Sep 17 11:52:01 MSK 2026","3786","","tests.LoginTest","","tests.LoginTest","testLoginViaPersonalAccount","Вход через кнопку 'Личный кабинет'","Проверка входа через кнопку личного кабинета"
"passed","Thu Sep 17 11:52:12 MSK 2026","Thu Sep 17 11:52:17 MSK 2026","4830","","tests.ConstructorTest","","tests.ConstructorTest","testFillingsSection","Переход к разделу 'Начинки'","Проверка активации таба 'Начинки' через className"
"passed","Thu Sep 17 11:52:05 MSK 2026","Thu Sep 17 11:52:08 MSK 2026","3092","","tests.ConstructorTest","","tests.ConstructorTest","testBunsSection","Переход к разделу 'Булки'","Проверка активации таба 'Булки' через className"
"passed","Thu Sep 17 11:52:17 MSK 2026","Thu Sep 17 11:52:21 MSK 2026","3848","","tests.RegisterTest","","tests.RegisterTest","testSuccessfulRegistration","Успешная регистрация","Проверка успешной регистрации нового пользователя"
"passed","Thu Sep 17 11:51:53 MSK 2026","Thu Sep 17 11:51:57 MSK 2026","3880","","tests.LoginTest","","tests.LoginTest","testLoginViaMainPageButton","Вход через кнопку 'Войти в аккаунт' на главной","Проверка входа через кнопку на главной странице"
"passed","Thu Sep 17 11:52:08 MSK 2026","Thu Sep 17 11:52:12 MSK 2026","4450","","tests.ConstructorTest","","tests.ConstructorTest","testSaucesSection","Переход к разделу 'Соусы'","Проверка активации таба 'Соусы' через className"
"passed","Thu Sep 17 11:52:21 MSK 2026","Thu Sep 17 11:52:25 MSK 2026","4031","","tests.RegisterTest","","tests.RegisterTest","testShortPasswordError","Ошибка при коротком пароле","Проверка ошибки при пароле короче 6 символов"
"passed","Thu Sep 17 11:51:46 MSK 2026","Thu Sep 17 11:51:53 MSK 2026","7175","","tests.LoginTest","","tests.LoginTest","testLoginViaForgotPasswordForm","Вход через кнопку в форме восстановления пароля","Проверка входа через кнопку в форме восстановления пароля"
